ID,Yiyecek adı,Miktar (1 porsiyon) gram,Kap Numarası,Renk,"Kıvam","Fiyat",Enerji,Protein,"Yağ",Karbonhidrat,Lif
172,Yoğurt,200,3,beyaz,"yumuşak","e",138.1,7.8,"7.5",8.7,0.0
173,Cacık,200,3,beyaz,"yumuşak","e",142.4,5.5,"10.0",6.9,0.6
174,Piyaz,150,3,beyaz,"katı","e",135.2,9.2,"4.1",14.9,3.6
175,Kırmızı Elma,120,3,kırmızı,"katı","e",73.1,0.4,"0.1",17.2,2.4
176,Yeşil Elma,120,3,"yeşil ","katı","e",73.1,0.4,"0.1",17.2,2.4
177,Tarbzon hurması,100,3,turuncu,"katı","e",71.0,0.6,"0.3",16.0,2.5
178,Armut,125,3,beyaz,"katı","e",65.1,0.6,"0.4",15.5,3.5
179,Muz,140,3,sarı,"katı","e",84.0,1.1,"0.2",18.8,1.9
180,Şeftali,185,3,turuncu,"katı","e",75.6,1.4,"0.2",16.4,3.1
181,Portakal,140,3,turuncu,"katı","e",60.6,1.4,"0.3",11.6,3.1
182,Mandalina,150,3,turuncu,"katı","e",75.3,1.0,"0.5",15.2,2.6
183,Üzüm,150,3,yeşil,"katı","e",104.3,1.0,"0.4",22.9,2.4
184,Karpuz,150,3,kırmızı,"katı","e",57.4,0.9,"0.3",12.4,0.4
185,kavun,220,3,sarı,"katı","e",110.4,1.8,"0.2",24.8,1.5
186,Mürdüm Eriği,175,3,kırmızı,"katı","e",75.7,1.1,"0.2",15.4,4.0
187,Fıstıklı Tel Kadayıf,100,3,kahverengi,"katı","e",332.7,3.8,"12.6",50.6,1.5
188,Cevizli Kadayıf,100,3,kahverengi,"katı","e",410.4,5.5,"14.4",64.1,1.8
189,Lokma,90,3,kahverengi,"katı","e",204.1,2.0,"6.0",35.2,0.4
190,Şekerpare,100,3,kahverengi,"katı","e",160.6,2.1,"7.0",22.2,0.5
191,Revani,100,3,sarı,"katı","e",291.1,3.6,"7.1",52.5,1.6
192,Yoğurt Tatlısı,100,3,sarı,"katı","e",149.1,3.4,"1.7",29.7,1.3
193,Kalburabastı,150,3,kahverengi,"katı","e",254.9,2.3,"12.5",33.1,0.6
194,Baklava,150,3,kahverengi,"katı","e",194.8,3.6,"11.2",20.0,1.0
195,Ayva Tatlısı,150,3,kırmızı,"katı","e",199.3,1.3,"5.6",35.0,5.5
196,Balkabağı Tatlısı,100,3,turuncu,"katı","e",136.0,1.6,"3.7",23.7,1.8
197,Hamur Tatlısı,150,3,kahverengi,"katı","e",226.6,3.8,"2.7",46.2,0.8
198,Sütlü İrmik Tatlısı,100,3,beyaz,"yumuşak","e",78.5,0.7,"0.1",18.5,0.5
199,İrmik Helvası,100,3,kahverengi,"yumuşak","e",309.8,3.5,"12.9",44.6,2.2
200,Tahin Helvası,35,3,kahverengi,"katı","e",151.9,3.6,"7.5",19.8,1.4
201,Tulumba Tatlısı,90,3,kahverengi,"katı","e",140.7,2.9,"6.7",17.3,0.4
202,Muhallebi,200,3,beyaz,"yumuşak","e",190.7,5.1,"4.9",31.3,0.2
203,Sütlaç,200,3,beyaz,"yumuşak","e",229.4,5.0,"5.1",40.3,0.2
204,Keşkül,200,3,beyaz,"yumuşak","e",173.5,2.1,"4.9",30.0,1.2
205,Kazandibi,200,3,kahverengi,"yumuşak","e",277.2,4.5,"5.1",52.7,0.2
206,Aşure,200,3,kahverengi,"yumuşak","e",369.0,7.5,"5.2",71.3,8.3
207,Pelte,150,3,beyaz,"yumuşak","e",301.1,0.9,"0.2",71.7,0.4
208,Salatalık turşusu,100,3,yeşil,"katı","e",6.9,0.3,"0.1",0.9,0.4
209,Lahana Turşusu,150,3,beyaz,"katı","e",23.7,2.1,"0.4",0.9,3.0
210,Kakaolu Puding,150,3,kahverengi,"yumuşak","e",164.2,4.2,"4.7",26.0,0.1
